48:3.16228 141:2.82843
3:1 7:2.23607
27:3.60555 39:1.41421
1:1 59:1.41421
15:3.60555 65:2.23607
41:2.23607 58:3.16228
81:2.82843 118:1.41421
1:2.23607 3:2
61:2.23607 75:1
8:2.23607 82:1
60:1.41421 84:1
43:2.23607 109:2
53:4.47214 165:6
110:2 163:1.41421
111:1.41421 132:1
65:2 74:1
41:1.41421 87:2.82843
98:2.23607 111:1.41421
19:1 172:1.41421
18:1 172:1
21:3 100:1
20:3 100:2
57:3 144:2
67:2.23607 163:2.82843
15:2 74:2.23607
116:1.41421 158:1
49:2.23607 153:1
2:3.60555 39:2.23607
63:2 130:1.41421
99:6.32456 103:3
117:2.23607 173:2
92:2.82843 155:2.82843
48:2.23607 85:2.82843
63:2.82843 109:3.60555
46:3 154:1.41421
46:1 98:2.23607
123:2 133:1.41421
95:2.82843 152:2.23607
133:3 136:2.23607
2:1.41421 27:2.23607
113:1.41421 151:1.41421
5:2.23607 16:1.41421
69:1 143:1.41421
11:2.23607 93:2
10:1.41421 90:1.41421
49:3 155:3.60555
35:1 98:2
59:1.41421 126:1
32:2.23607 141:1.41421
26:2.23607 153:1.41421
114:2.23607 145:5
108:2 138:1
83:3.16228 142:1.41421
12:4.47214 120:3.16228
97:3.16228 149:4.12311
86:1 166:2
89:2.23607 147:1.41421
22:3 78:3.16228
5:3.16228 37:3
47:1.41421 156:1
10:1.41421 84:1
14:2 72:1.41421
16:3 64:1.41421
28:2 130:1.41421
62:1.41421 81:2.23607
4:2.23607 15:2
119:1.41421 125:1.41421
23:2.23607 163:1
96:1 158:2.82843
42:1 143:1
73:3 107:1
22:4.12311 144:2.23607
14:1.41421 61:1.41421
77:1.41421 169:1
15:1 24:2.23607
8:1 61:2
73:1.41421 92:1.41421
92:1.41421 169:1
57:3.16228 129:1
99:2.82843 131:1.41421
44:2 90:1.41421
64:2.23607 118:1.41421
9:1 126:1.41421
151:2 174:1.41421
10:1 60:1
91:2.23607 135:1.41421
24:2.23607 55:1
16:2.82843 41:3.16228
81:3 106:2.82843
56:2.23607 147:1
44:1.41421 80:1.41421
85:2.23607 105:1
76:1.41421 77:1.41421
43:2 170:3.60555
56:2.82843 87:3.16228
37:2.82843 152:1
68:1 167:3.16228
140:3 149:1
46:2 128:1.41421
79:2.82843 131:1.41421
20:1 21:2
89:2.82843 147:3.60555
98:2.23607 121:2
29:3 114:5.38516
14:2 72:1.41421
85:3.16228 91:1
19:2.23607 66:2.23607
70:1 73:2
51:2 110:2.23607
11:2 43:2.23607
13:2 108:2.23607
17:1.41421 132:1
141:4 168:1.41421
40:1.41421 151:2
50:2.23607 154:4
26:2.82843 153:2.23607
25:1.41421 167:1.41421
30:2.23607 173:3.60555
6:1.41421 81:1.41421
66:1.41421 125:2
53:3.16228 58:6
102:2 128:1
26:5.09902 153:6.08276
127:1.41421 133:1.41421
89:4.24264 146:3.60555
66:1.41421 172:1
47:1 82:1.41421
123:1.41421 133:2
98:1.41421 121:1
57:4.12311 78:1
28:1.41421 63:1.41421
79:1.41421 99:1.41421
14:1 111:1
36:1.41421 123:1.41421
42:2.23607 136:1.41421
69:2.23607 85:1.41421
38:2.23607 134:1.41421
10:1.41421 90:1.41421
51:1 108:2.23607
1:3 130:2.82843
149:2 162:2.23607
0:2.82843 48:1.41421
52:1.41421 83:2
42:1.41421 69:1
22:2 71:2.23607
0:4.12311 50:5
56:4.47214 124:3.60555
56:1.41421 89:1
51:5.83095 138:5
97:1 140:2
66:1.41421 119:2
40:1.41421 83:2
37:2.23607 95:1
26:1 49:1.41421
34:1.41421 35:4
11:2.82843 31:2.82843
59:1 157:1
59:1.41421 156:1
25:1 116:2.23607
18:3.60555 116:3.60555
15:2.23607 24:2.23607
62:3.16228 171:3.60555
51:4 140:2.23607
13:1.41421 67:1
13:2.82843 136:3.16228
4:4.24264 65:4.12311
55:2 171:1.41421
25:2 116:1.41421
112:1.41421 141:3.16228
73:1 77:1
40:2.23607 151:2.23607
55:3.16228 166:1.41421
19:1 125:1
30:2 68:3.16228
83:1.41421 113:3.16228
351:2.82843 370:2.82843
284:2.23607 322:5.38516
276:7.61577 318:9.21954
239:6.32456 398:6.32456
320:6.08276 398:5.83095
335:2.23607 368:5
186:2.82843 353:1
249:6 258:2.23607
212:1.41421 398:1
223:3.60555 291:3
280:4 391:2.23607
181:2.82843 295:3
279:5.65685 390:3.16228
234:2.23607 326:3.60555
277:4.47214 359:1
243:2.23607 250:1
331:2 364:8.06226
284:7.81025 380:3.16228
335:6.40312 343:5.38516
327:2.23607 332:5
235:4.12311 254:4.47214
273:4 308:7
229:2 347:7.28011
208:3.60555 298:5.65685
203:3.60555 378:4.12311
257:4 288:4.12311
292:1 311:1
217:1.41421 383:3.60555
199:3.60555 384:2.23607
213:2.82843 215:5
318:1 366:7.61577
357:8.06226 399:5.09902
351:3.16228 370:1.41421
198:3.60555 316:7.07107
192:8.06226 380:6.40312
273:6.08276 314:7.61577
357:6.7082 365:4
183:1.41421 398:2.23607
204:2.82843 319:4.24264
261:5 356:4.12311
204:5 213:5.38516
259:5 385:2.82843
202:1.41421 383:3.60555
222:2.82843 309:7.81025
264:2.23607 399:8.544
267:5.65685 372:2
253:1 269:1.41421
218:2.82843 309:10.6301
184:3.60555 291:3.16228
233:7.07107 376:3.16228
285:5.09902 362:2.82843
230:6.7082 235:7.07107
281:3.60555 297:3
289:7.81025 337:8.60233
197:2 347:7
226:6.7082 235:8.06226
246:2.23607 313:2
338:4.47214 389:4.12311
256:1 390:6.7082
188:2.23607 382:4
195:4.12311 226:7.07107
308:5.09902 388:4.47214
296:4 341:2.23607
374:5 399:6.08276
178:6.32456 276:5.65685
302:2.82843 339:2.23607
278:5.38516 356:2.82843
278:4.12311 375:4.12311
190:2.23607 250:1.41421
275:2 310:3.16228
278:3.16228 375:2
231:2.23607 252:2
175:4.12311 269:5
262:2.82843 325:2.82843
258:5.38516 282:4.47214
190:1 243:1.41421
272:5 361:3
231:3.60555 246:2
221:1 269:2.23607
302:4.24264 328:4
288:1 395:2.82843
233:1 390:6.32456
200:4 397:2.23607
182:2.23607 249:5.38516
216:5 385:2.23607
204:6.32456 382:5.83095
214:5 356:3.16228
248:2.82843 387:3.16228
215:6 260:6.7082
219:2.23607 374:8.60233
338:6 389:6.7082
315:5 367:3.60555
372:4.47214 397:4.24264
287:4.24264 365:5.09902
221:1.41421 253:2.23607
303:6.32456 346:2.82843
352:4.12311 396:5
251:5 377:6.7082
196:4 210:6.08276
348:10 355:9.05539
244:2 310:4.24264
177:7.61577 239:5.65685
189:4.47214 359:4.12311
242:4.12311 245:3.16228
187:5.65685 390:3.16228
185:4 391:3.60555
227:3.60555 297:2
249:4.47214 307:5.38516
317:1.41421 396:2.23607
176:2.23607 380:5
368:4.47214 373:3.16228
186:6.08276 347:5.65685
268:4.24264 363:2.23607
255:1 395:3.60555
228:7.81025 354:5.09902
321:5.09902 354:8.24621
184:3 223:3.16228
201:1 311:1.41421
296:3.60555 341:5.65685
268:7.07107 287:10.7703
181:5.38516 186:3
293:3.60555 341:2.23607
227:3 281:2
198:5.65685 267:4.47214
218:9.21954 309:4.24264
180:5.09902 368:4.12311
184:8.06226 360:8.06226
240:2.82843 339:4.12311
270:6.32456 358:3.60555
305:7.81025 315:9.21954
304:7.81025 315:7.61577
345:6.32456 381:8.544
249:9.84886 282:5.38516
236:5.09902 388:1.41421
218:7.81025 299:4.24264
244:3.16228 275:4.24264
201:1 292:1.41421
201:1 311:1.41421
231:2 334:2
227:6.08276 281:5.65685
266:5 367:6.32456
342:5.09902 344:6.40312
283:1.41421 396:3
205:1 366:8.544
213:4.24264 234:4.47214
179:6.08276 317:7.07107
289:10.198 290:5.09902
176:5.38516 333:6.32456
329:3.16228 384:7
245:4.47214 375:4
248:2.82843 262:4
188:3.60555 382:4
194:2.23607 332:3.16228
195:4.47214 254:4
323:3.16228 384:4.12311
340:6 348:10
191:2 223:8.24621
327:3.16228 394:4.47214
248:10.7703 322:6.32456
231:4 313:2
180:2.23607 300:6.08276
191:8.544 364:4
228:8.60233 369:6.08276
348:4.12311 389:3
240:2.23607 302:4.12311
330:6 348:6.32456
237:2.23607 296:2.23607
316:5.09902 344:3
292:4.47214 386:4.12311
316:6.40312 342:3
306:6.32456 379:7.07107
270:2.82843 389:5.38516
229:7 286:5.65685
338:4.12311 340:6.32456
300:8.24621 371:2.23607
324:5.83095 375:8.60233
175:2.82843 207:3.16228
271:4.12311 396:5.09902
181:1 186:3.60555
289:5.09902 290:8.24621
188:4.12311 326:4.47214
241:2.82843 261:3.16228
363:3.16228 365:3.60555
270:9 303:3.60555
189:1 277:4.12311
301:8.06226 392:3
251:3 275:5.09902
180:6.40312 225:2.82843
287:2.23607 365:3
242:6.7082 336:4
357:3.60555 363:3
205:7.61577 334:7.61577
266:3.60555 315:6.32456
300:4.12311 373:3.16228
277:6.7082 337:6.08276
175:2.82843 207:1.41421
300:6.08276 349:2.23607
220:2 267:4.47214
285:3.16228 368:3.16228
223:7.07107 238:5
245:2 324:4
217:6.32456 224:3.16228
296:4 341:3.60555
199:4.12311 203:7.2111
221:8.48528 345:7.07107
192:3.16228 284:5
306:8.544 370:7.28011
188:3.60555 234:4
202:3.60555 217:3.60555
203:2.23607 329:4.12311
216:2.82843 259:2.23607
292:3 393:2.82843
248:5.83095 262:3.16228
236:4.47214 308:1.41421
232:4.12311 338:3
187:3.16228 279:3.16228
185:2.23607 280:3.60555
211:7.61577 360:3
292:2.23607 311:2.23607
327:5.09902 332:4.47214
255:2.82843 288:3.60555
283:2.23607 317:3
257:2.23607 267:4.24264
183:1 212:2.23607
206:5.09902 238:6.08276
443:2 539:1
435:6.08276 555:10
536:4.24264 628:3
408:3.60555 479:3.60555
535:3.60555 655:3.60555
497:2.23607 537:4.47214
514:5 536:10.4403
410:5 523:1.41421
403:3.60555 479:5.09902
494:6.32456 578:7.28011
407:5 523:6.40312
485:3.16228 615:1.41421
500:5.65685 596:2.23607
647:6.08276 660:8.544
449:6.08276 542:6.40312
472:5.83095 622:6.7082
498:3.60555 507:3.16228
601:1.41421 672:5.65685
460:4.47214 593:8.94427
632:11.0454 659:3
496:7.07107 663:1.41421
428:5.38516 480:1
473:5.09902 635:7.07107
609:4.12311 634:5
586:9.21954 664:9.43398
526:4.47214 533:3
485:9.05539 642:7.07107
483:7.2111 515:2.82843
421:5.38516 480:4.47214
413:9.48683 636:8.48528
474:2.82843 510:1
455:8.60233 477:8.24621
482:4.47214 595:5.38516
506:5 593:7.81025
447:2.23607 547:3
436:4.47214 627:5.09902
496:1.41421 627:3.16228
434:3.60555 547:3.16228
455:11.6619 530:5
604:4.12311 619:4.12311
463:3.16228 553:4.47214
437:5.65685 579:6
487:5.38516 673:9.43398
400:2 539:2.23607
554:5 572:3.60555
508:7.61577 567:8.06226
411:4 615:3.16228
434:2.23607 512:2
657:7.2111 658:7.07107
414:6.08276 495:7.61577
444:5 452:3.60555
549:6.32456 555:6.40312
450:3.60555 540:3.16228
561:8 665:5.65685
416:3.60555 507:1
414:7.2111 542:1
506:9.48683 593:10
422:9.21954 638:5.83095
484:4 630:4
493:5.09902 622:5.38516
418:4.47214 593:4.47214
517:4.47214 611:6
490:3 608:5
440:3.16228 553:7.07107
548:1 643:1
657:1.41421 658:7.2111
525:9.48683 654:4.12311
473:9.43398 570:10.2956
452:4.24264 540:2
490:7.07107 608:4.47214
524:4.47214 606:5
640:8.06226 670:7.07107
415:5.83095 622:9.21954
422:5.09902 635:8.48528
430:2.82843 510:2.23607
645:1.41421 655:9.05539
589:9.21954 617:2.82843
421:7.28011 480:7.61577
432:7.28011 612:3.60555
403:3.60555 408:5.09902
421:1 428:4.47214
524:6.32456 551:6.32456
432:4.47214 595:6.7082
486:3.16228 502:3
458:4 631:6.08276
411:3.16228 615:4
