methodname,Bootstrap#,K,LoopReplicate,Timetaken
spectraleuc,0,1,1,0.477229
spectraleuc,1,1,1,0.335027
spectraleuc,2,1,1,0.329086
spectraleuc,3,1,1,0.325976
spectraleuc,4,1,1,0.319721
spectraleuc,5,1,1,0.345888
spectraleuc,6,1,1,0.321289
spectraleuc,7,1,1,0.358521
spectraleuc,8,1,1,0.318702
spectraleuc,9,1,1,0.321608
spectraleuc,10,1,1,0.318935
spectraleuc,11,1,1,0.318412
spectraleuc,12,1,1,0.324572
spectraleuc,13,1,1,0.301958
spectraleuc,14,1,1,0.345928
spectraleuc,15,1,1,0.339946
spectraleuc,16,1,1,0.301447
spectraleuc,17,1,1,0.299014
spectraleuc,18,1,1,0.32366
spectraleuc,19,1,1,0.301958
spectraleuc,20,1,1,0.319866
spectraleuc,21,1,1,0.304447
spectraleuc,22,1,1,0.320265
spectraleuc,23,1,1,0.312534
spectraleuc,24,1,1,0.317482
spectraleuc,25,1,1,0.316284
spectraleuc,26,1,1,0.317773
spectraleuc,27,1,1,0.321543
spectraleuc,28,1,1,0.319158
spectraleuc,29,1,1,0.305023
spectraleuc,30,1,1,0.321106
spectraleuc,31,1,1,0.316482
spectraleuc,32,1,1,0.317256
spectraleuc,33,1,1,0.318254
spectraleuc,34,1,1,0.33667
spectraleuc,35,1,1,0.342897
spectraleuc,36,1,1,0.322747
spectraleuc,37,1,1,0.317839
spectraleuc,38,1,1,0.319767
spectraleuc,39,1,1,0.300464
spectraleuc,40,1,1,0.324974
spectraleuc,41,1,1,0.319132
spectraleuc,42,1,1,0.322843
spectraleuc,43,1,1,0.322099
spectraleuc,44,1,1,0.317469
spectraleuc,45,1,1,0.3192
spectraleuc,46,1,1,0.323986
spectraleuc,47,1,1,0.321888
spectraleuc,48,1,1,0.30249
spectraleuc,49,1,1,0.30499
