methodname,Bootstrap#,K,LoopReplicate,Timetaken
kmeanseuc,1,1,1,0.002686
kmeanseuc,2,1,1,0.002709
kmeanseuc,3,1,1,0.001866
kmeanseuc,4,1,1,0.001818
kmeanseuc,5,1,1,0.001451
kmeanseuc,6,1,1,0.002080
kmeanseuc,7,1,1,0.002529
kmeanseuc,8,1,1,0.001930
kmeanseuc,9,1,1,0.001558
kmeanseuc,10,1,1,0.001988
kmeanseuc,11,1,1,0.001556
kmeanseuc,12,1,1,0.001896
kmeanseuc,13,1,1,0.001509
kmeanseuc,14,1,1,0.001924
kmeanseuc,15,1,1,0.002638
kmeanseuc,16,1,1,0.002191
kmeanseuc,17,1,1,0.001880
kmeanseuc,18,1,1,0.002434
kmeanseuc,19,1,1,0.001898
kmeanseuc,20,1,1,0.002100
kmeanseuc,21,1,1,0.001714
kmeanseuc,22,1,1,0.002739
kmeanseuc,23,1,1,0.001852
kmeanseuc,24,1,1,0.002229
kmeanseuc,25,1,1,0.002156
kmeanseuc,26,1,1,0.002111
kmeanseuc,27,1,1,0.001947
kmeanseuc,28,1,1,0.002238
kmeanseuc,29,1,1,0.001861
kmeanseuc,30,1,1,0.003136
kmeanseuc,31,1,1,0.002067
kmeanseuc,32,1,1,0.002355
kmeanseuc,33,1,1,0.001932
kmeanseuc,34,1,1,0.002158
kmeanseuc,35,1,1,0.002048
kmeanseuc,36,1,1,0.002730
kmeanseuc,37,1,1,0.002215
kmeanseuc,38,1,1,0.002374
kmeanseuc,39,1,1,0.002076
kmeanseuc,40,1,1,0.002340
kmeanseuc,41,1,1,0.002110
kmeanseuc,42,1,1,0.002346
kmeanseuc,43,1,1,0.002178
kmeanseuc,44,1,1,0.002294
kmeanseuc,45,1,1,0.002636
kmeanseuc,46,1,1,0.002195
kmeanseuc,47,1,1,0.001531
kmeanseuc,48,1,1,0.001938
kmeanseuc,49,1,1,0.001506
kmeanseuc,50,1,1,0.002013
kmeanseuc,1,2,1,0.084360
kmeanseuc,2,2,1,0.065605
kmeanseuc,3,2,1,0.072632
kmeanseuc,4,2,1,0.070065
kmeanseuc,5,2,1,0.062488
kmeanseuc,6,2,1,0.115764
kmeanseuc,7,2,1,0.074747
kmeanseuc,8,2,1,0.066166
kmeanseuc,9,2,1,0.069986
kmeanseuc,10,2,1,0.141756
kmeanseuc,11,2,1,0.085865
kmeanseuc,12,2,1,0.066194
kmeanseuc,13,2,1,0.093878
kmeanseuc,14,2,1,0.091399
kmeanseuc,15,2,1,0.065204
kmeanseuc,16,2,1,0.092211
kmeanseuc,17,2,1,0.097717
kmeanseuc,18,2,1,0.071781
kmeanseuc,19,2,1,0.063238
kmeanseuc,20,2,1,0.063792
kmeanseuc,21,2,1,0.075718
kmeanseuc,22,2,1,0.070819
kmeanseuc,23,2,1,0.081469
kmeanseuc,24,2,1,0.082556
kmeanseuc,25,2,1,0.069946
kmeanseuc,26,2,1,0.069820
kmeanseuc,27,2,1,0.066033
kmeanseuc,28,2,1,0.078550
kmeanseuc,29,2,1,0.123079
kmeanseuc,30,2,1,0.129238
kmeanseuc,31,2,1,0.074161
kmeanseuc,32,2,1,0.079560
kmeanseuc,33,2,1,0.066273
kmeanseuc,34,2,1,0.052516
kmeanseuc,35,2,1,0.074269
kmeanseuc,36,2,1,0.083071
kmeanseuc,37,2,1,0.056889
kmeanseuc,38,2,1,0.071610
kmeanseuc,39,2,1,0.068874
kmeanseuc,40,2,1,0.069058
kmeanseuc,41,2,1,0.063284
kmeanseuc,42,2,1,0.069354
